sample,behavior_model,feature_group,feature_set,space,n,n_features,effective_features,neural_distance,rsa_spearman,p_perm_two_sided,n_perm,pair_count,mean_within_neural_distance,mean_between_neural_distance,between_minus_within,roi,window
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE time window,TRIBE window 25-75%,standardized,398,5,5,correlation,0.0688596293330192,0.0099009900990099,100,79003,,,,,pct25_75
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE time window,TRIBE window 25-75%,standardized,210,5,5,correlation,0.1859621405601501,0.0099009900990099,100,21945,0.8986519207911774,1.1078354908345576,0.2091835700433801,,pct25_75
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE time window,TRIBE window 50-100%,standardized,398,5,5,correlation,0.0431676730513572,0.0099009900990099,100,79003,,,,,pct50_100
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE time window,TRIBE window 50-100%,standardized,210,5,5,correlation,0.106698639690876,0.0099009900990099,100,21945,0.942260351792437,1.06344073866454,0.1211803868721029,,pct50_100
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE time window,TRIBE window Last 5s,standardized,398,5,5,correlation,0.0210235938429832,0.0099009900990099,100,79003,,,,,last5
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE time window,TRIBE window Last 5s,standardized,210,5,5,correlation,0.0443161763250827,0.0099009900990099,100,21945,0.975399938597702,1.025538519675799,0.0501385810780968,,last5
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE time window,TRIBE window Temporal SD,standardized,398,5,5,correlation,0.0013471600832417,0.8415841584158416,100,79003,,,,,std
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE time window,TRIBE window Temporal SD,standardized,210,5,5,correlation,-0.001816083677113,0.8118811881188119,100,21945,1.0020249521117524,1.0001144485450064,-0.0019105035667459,,std
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE time window,TRIBE window Peak 10s,standardized,398,5,5,correlation,0.0307456795126199,0.0099009900990099,100,79003,,,,,rolling_peak_10s
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE time window,TRIBE window Peak 10s,standardized,210,5,5,correlation,0.0865280181169509,0.0099009900990099,100,21945,0.954516458549691,1.0509531482972645,0.0964366897475732,,rolling_peak_10s
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE time window,TRIBE window Abs peak 10s,standardized,398,5,5,correlation,0.0136260576546192,0.0099009900990099,100,79003,,,,,rolling_abs_peak_10s
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE time window,TRIBE window Abs peak 10s,standardized,210,5,5,correlation,0.0532526485621929,0.0099009900990099,100,21945,0.9719990304926586,1.0323523101550005,0.0603532796623419,,rolling_abs_peak_10s
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,dlPFC Whole,standardized,398,1,1,euclidean,0.0630192905664444,0.0099009900990099,100,79003,,,,cortical_dlPFC,whole
common_clip_clap_asr_acr_tribe,top_bottom25_category,TRIBE ROI-window cell,dlPFC Whole,standardized,210,1,1,euclidean,0.1459474265575409,0.0099009900990099,100,21945,1.028279714149322,1.2696329304160556,0.2413532162667335,cortical_dlPFC,whole
common_clip_clap_asr_acr_tribe,continuous_admeter_distance,TRIBE ROI-window cell,dlPFC 25-75%,standardized,398,1,1,euclidean,0.0430662743747234,0.0297029702970297,100,79003,,,,cortical_dlPFC,pct25_75
